"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"FakeRestApi","BooksApi","BooksApiPut","6","0","36","0","0"
"FakeRestApi","BooksApi","BooksApiPost","3","0","33","0","0"
"FakeRestApi","AuthorsApi","AuthorsApiPut","5","0","26","0","0"
"FakeRestApi","AuthorsApi","AuthorsApiPost","2","0","23","0","0"
"FakeRestApi","BooksApi","BooksApiDelete","3","0","3","0","0"
"FakeRestApi","AuthorsApi","AuthorsApiDelete","3","0","3","0","0"
"FakeRestApi","AuthorsApi","AuthorsApiGetById","0","0","6","0","0"
"FakeRestApi","BooksApi","BooksApiGetById","0","0","6","0","0"
