"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 30 03:38:19 GMT 2025","Sun Mar 30 03:38:20 GMT 2025","475","Regression","Example","com.example.demo.tests.authorsapitests.negative.PutAuthorNegativeTests","com.example.demo.tests.authorsapitests.negative.PutAuthorNegativeTests","step3","step3","PUT author: Verify error with invalid property"
"passed","Sun Mar 30 03:38:13 GMT 2025","Sun Mar 30 03:38:14 GMT 2025","477","Regression","Example","com.example.demo.tests.booksapitests.negative.PostBookNegativeTests","com.example.demo.tests.booksapitests.negative.PostBookNegativeTests","testStep1","testStep1","POST book: Verify error with invalid property"
"passed","Sun Mar 30 03:38:11 GMT 2025","Sun Mar 30 03:38:11 GMT 2025","455","Regression","Example","com.example.demo.tests.booksapitests.negative.PutBookNegativeTests","com.example.demo.tests.booksapitests.negative.PutBookNegativeTests","step3","step3","PUT book: Verify error with invalid property"
"passed","Sun Mar 30 03:38:23 GMT 2025","Sun Mar 30 03:38:24 GMT 2025","468","Regression","Example","com.example.demo.tests.booksapitests.negative.PutBookNegativeTests","com.example.demo.tests.booksapitests.negative.PutBookNegativeTests","step3","step3","PUT book: Verify error with invalid property"
"failed","Sun Mar 30 03:38:20 GMT 2025","Sun Mar 30 03:38:21 GMT 2025","452","Regression","Example","com.example.demo.tests.booksapitests.negative.PostBookNegativeTests","com.example.demo.tests.booksapitests.negative.PostBookNegativeTests","testStep1","testStep1","POST book: Verify error with invalid property"
"passed","Sun Mar 30 03:38:12 GMT 2025","Sun Mar 30 03:38:13 GMT 2025","486","Regression","Example","com.example.demo.tests.authorsapitests.negative.DeleteAuthorByIdNegativeTests","com.example.demo.tests.authorsapitests.negative.DeleteAuthorByIdNegativeTests","step2","step2","DELETE author by id: Verify invalid id error with invalid author id"
"passed","Sun Mar 30 03:38:15 GMT 2025","Sun Mar 30 03:38:15 GMT 2025","477","Regression","Example","com.example.demo.tests.authorsapitests.negative.GetAuthorByIdNegativeTests","com.example.demo.tests.authorsapitests.negative.GetAuthorByIdNegativeTests","step2","step2","GET author by id: Verify invalid id error with invalid author id"
"passed","Sun Mar 30 03:38:16 GMT 2025","Sun Mar 30 03:38:16 GMT 2025","465","Regression","Example","com.example.demo.tests.authorsapitests.negative.PutAuthorNegativeTests","com.example.demo.tests.authorsapitests.negative.PutAuthorNegativeTests","step2","step2","PUT author by id: Verify invalid id error with invalid author id"
"passed","Sun Mar 30 03:38:11 GMT 2025","Sun Mar 30 03:38:12 GMT 2025","483","Regression","Example","com.example.demo.tests.booksapitests.negative.PostBookNegativeTests","com.example.demo.tests.booksapitests.negative.PostBookNegativeTests","testStep1","testStep1","POST book: Verify error with invalid property"
"passed","Sun Mar 30 03:38:13 GMT 2025","Sun Mar 30 03:38:14 GMT 2025","489","Regression","Example","com.example.demo.tests.authorsapitests.negative.DeleteAuthorByIdNegativeTests","com.example.demo.tests.authorsapitests.negative.DeleteAuthorByIdNegativeTests","step2","step2","DELETE author by id: Verify invalid id error with invalid author id"
"failed","Sun Mar 30 03:38:21 GMT 2025","Sun Mar 30 03:38:22 GMT 2025","457","Regression","Example","com.example.demo.tests.authorsapitests.negative.PutAuthorNegativeTests","com.example.demo.tests.authorsapitests.negative.PutAuthorNegativeTests","step3","step3","PUT author: Verify error with invalid property"
